id,name,url,artist_id,blurb,store_spotify_link,store_soundcloud_link
1,Epic Journey,epic-journey,1,,https://open.spotify.com/track/7BU6t0ScDc2LZys04ESick?si=de6ea38ff48f47e7,https://soundcloud.com/gfdmusic/epic-journey
2,Departure,departure,1,,https://open.spotify.com/track/6LU3Pxe26ckmYB6DdBV8Rl?si=046db6a135ab46a7,https://soundcloud.com/gfdmusic/departure
3,November Dawn,november-dawn,1,"This had a working title of ""guitar trance"". That should give you an idea of what to expect.",https://open.spotify.com/track/2UkOuhhy4GSq2ISo9VSzfw?si=f2e7697760f34c52,https://soundcloud.com/gfdmusic/november-dawn
4,Legacy Layers,legacy-layers,1,"It's the B-side (in digital terms!) of my previous track, November Dawn. More guitars in this one. 🎸",https://open.spotify.com/track/2O135uZJME1ymk3vYHyXfj?si=7bbb4501ad584343,https://soundcloud.com/gfdmusic/legacy-layers
5,Tonic,tonic,1,"This is the 1st track from my 2021 EP ""Night Sessions"". The artwork is mine - a photo taken from a night out.

This is my first funk/upbeat track on Spotify. It's a fun one and a good opener for a more dance-oriented collection of tunes.",https://open.spotify.com/track/6yAAgkgxt9u8R1fJBL9gNr?si=94ec786974d44732,https://soundcloud.com/gfdmusic/tonic
6,An Evening in February,an-evening-in-february,1,This is the 2nd track from my Night Sessions EP. This one's quite varied. It's an ambient piano / dance piece that doesn't stay in one place for too long. Quite an unusual one.,https://open.spotify.com/track/7kSTD2ERFSTiZYVCCb8BE9?si=6d3885167aa3402a,https://soundcloud.com/gfdmusic/an-evening-in-february
7,Dreamlight State,dreamlight-state,1,"“Dreamlight State” is a typo, it should be ""Dreamlike State"". Oops.

It's a piano ambient dance track, much like the previous track. I quite like this track, although nobody has really listened to it.",https://open.spotify.com/track/1cXQbp1DNFAPYXv9ZqY163?si=283d1ad3dcb9492b,https://soundcloud.com/gfdmusic/dreamlight-state
8,Midnight Disco,midnight-disco,1,"This track lives up to its title, especially in the middle part. It's a mix of styles, with some upbeat bits, piano catchy bits, and a disco beat. Good night time listening.",https://open.spotify.com/track/1YluAGLgPvxuiJU6tlfHHB?si=9315d74c51224b48,https://soundcloud.com/gfdmusic/midnight-disco
9,Lost Highway,lost-highway,1,"This is a combo of piano and guitar with a driving beat. I think it works well for the first half, but doesn't do a great deal more after that point. I think there's a good idea in here, but the track doesn't develop enough. Still worth a listen though 😇",https://open.spotify.com/track/3nTHi7AepE2YuqxCur9UjE?si=913421f7300c4c4d,https://soundcloud.com/gfdmusic/lost-highway
10,Retro Nights,retro-nights,1,"This is one of my favourites and one of the first that people seemed to enjoy! 😇 It's a disco track that has been described as ""authentic"". I love the style and think it came out really well. Have a listen, you might just enjoy it 🤩🔥🎉",https://open.spotify.com/track/56v6XGRSwMRJefSfl2ezOg?si=45330e569b31419a,https://soundcloud.com/gfdmusic/retro-nights
11,Turn It Up,turn-it-up,1,This is the 1st track from my EP of the same name. I'm not sure what I'd call the genre; it's catchy though! 😄 ,https://open.spotify.com/track/46U0hQcCieQ1m397radRuu?si=cded7ec5d4c64d8c,https://soundcloud.com/gfdmusic/turn-it-up
12,Saturday Groove,saturday-groove,1,A soft groove and a fun track. I enjoyed writing this.,https://open.spotify.com/track/6mOCE4TuqP5ztCGc4CAVAl?si=8b260cb9f9a649f8,https://soundcloud.com/gfdmusic/saturday-groove
13,Fireflies,fireflies,1,"This one gives a darker trance vibe than most of my other tracks, at least up to this point. It's a late night track.",https://open.spotify.com/track/7LRoWhdwbUkvrFvepQYP01?si=b4e9bb5907674962,https://soundcloud.com/gfdmusic/fireflies
14,Late Summer Funk,late-summer-funk,1,"A breezy, upbeat funky track that's a fun one to listen to. Funk is great!",https://open.spotify.com/track/2uVz6ELOVrV7bC14fQjlMF?si=6a26d896dc0a495e,https://soundcloud.com/gfdmusic/late-summer-funk
15,When the World Knows,when-the-world-knows,1,"This is a really old one, and perhaps better suited to my VGM alias (Roads to Atlantis). It's got potential, but the sounds aren't quite right. Might remix it someday.",https://open.spotify.com/track/5oK6m9al5wfcMAj7CPbNZE?si=ac3590a7fb1649b0,https://soundcloud.com/gfdmusic/when-the-world-knows
16,Chasing Comets,chasing-comets,1,"This track marks a step up in quality for me. I worked hard on getting this to sound good. 🎵

It’s a bit of funky disco, heavy on the synths and I think it’s pretty catchy!

It's also notable for being the lead single for my first album - Voyage into Space 😎 It even has some pretty snazzy artwork to boot.",https://open.spotify.com/track/1MlbNcDqKDPsnus0IaehB3?si=b34061f651464d21,https://soundcloud.com/gfdmusic/chasing-comets
17,Event Horizon,event-horizon,1,"The 2nd and final track from my Chasing Comets EP, and another preview of my first album. 🎧

This is one of my movie soundtrack style tracks, with a fairly understated intro that leads into a string-laden soundscape. 🎻",https://open.spotify.com/track/6NhjklwfkMzoIStG50Mi1M?si=756f6344245b4b84,https://soundcloud.com/gfdmusic/event-horizon
18,Seventh Road,seventh-road,1,"This is a single, not on any albums, and I've pretty much never promoted it anywhere. 🧐

And yet... I think it's one of my very best- a real hidden gem. 💎

Strings, piano, and a catchy beat - it really came out well. ☺️🎧🔥

Have a listen - you might just like it. 😁🎵",https://open.spotify.com/track/4KC276qg9X9614LmbxEDUG?si=5b28516d23684fcd,https://soundcloud.com/gfdmusic/seventh-road
19,Mission Control,mission-control,1,"This tracks launches my first album. 🚀 it's a space-themed album.

Originally titled ""Get Ready"", I think it's a good opener.",https://open.spotify.com/track/5ZUoE0to6LGiYM6yzLGpHR?si=daf34b9ab29c4e60,https://soundcloud.com/gfdmusic/mission-control
20,Meteor Shower,meteor-shower,1,"Track 2 from my album ""Voyage into Space"".

Starting with a repetitive one note melody, this develops into an upbeat, groovy track.

I like how this one turned out. It continues to set the tone for the album. After a string of EPs and singles, it was satisfying to put out an album.",https://open.spotify.com/track/104sfp03GAQXPzlNLkYkyx?si=825acb50ff864cc9,https://soundcloud.com/gfdmusic/meteor-shower
21,Lightspeed,lightspeed,1,"A deep cut, a hidden gem, an underrated tune? Call it what you like: this track was completely overlooked. I think it's worth a play.

Originally titled ""Dry Ice"", it's a fast track, a bit funky, and uses a few guitar samples. 🎸",https://open.spotify.com/track/72BjSIFJzBQI5aZ4EFLFKK?si=b0223b22d1584b5f,https://soundcloud.com/gfdmusic/lightspeed
22,Watching the Stars Go By,watching-the-stars-go-by,1,"I remember starting this track with a simple melody, and adding drums. Before long, I noticed the track had a feel similar to tracks on the Anjunabeats label 😁

It's simple but effective. A standout from my first album. 😎",https://open.spotify.com/track/1qiXmIgZwv05b1rudIfkMo?si=ea3d0d1839154bb8,https://soundcloud.com/gfdmusic/watching-the-stars-go-by
23,Diamond Rain,diamond-rain,1,"I don't have a whole lot to say about this one. It's bright and catchy 😄

Maybe a little repetitive - it could've been slightly shorter. Still, I think it works.",https://open.spotify.com/track/0wXYgdK710gh4FB0cB7pkT?si=99b835536dae4f6b,https://soundcloud.com/gfdmusic/diamond-rain
24,Lost in Space,lost-in-space,1,"This is an old one that I reworked for the album. It's a simple piano melody that develops into a weird, dark, groovy tune. It's almost like a space disco as it gets going.

I think it captures the vibes of the album well. A distant place, not knowing what's coming next, and a combination of curiosity and anxiety.",https://open.spotify.com/track/10sovx64C8zHWobsc1eiQg?si=ec8dbd9cc0af4487,https://soundcloud.com/gfdmusic/lost-in-space
25,Uncharted Territories,uncharted-territories,1,"This track is a proper journey. It's got great melodies and a driving dance beat. 🕺

I LOVE this track. It stands as one of my absolute best. I'd love if you gave it a listen. 🎧",https://open.spotify.com/track/4tJLzxBaMxSKnauIP3EyEj?si=fcaaa4fea2d6447c,https://soundcloud.com/gfdmusic/uncharted-territories
26,Ninth Dimension,ninth-dimension,1,"This is a proper space epic! After a fairly normal intro, things get interesting at 2:30. Space sound effects, distorted voices, and a bunch of other weird noises give the track a sci-fi vibe. Stick with it: this is a very unusual track 😎",https://open.spotify.com/track/1TUCZhBdNvanJk7ViO8qq3?si=43a4f55449ab4346,https://soundcloud.com/gfdmusic/ninth-dimension
27,Mercury,mercury,1,"A mostly ambient dance/trance track, originally titled ""True Destiny"".

It has a few catchy melodies and develops nicely through its 6 minute runtime.

Only 1 more track left before this album is done. It's quite a journey.",https://open.spotify.com/track/1jTcHZ65kJiDv1WyAdu6cN?si=dda285d36ab64055,https://soundcloud.com/gfdmusic/mercury
28,Heaven,heaven,1,"6 minutes of chilled dance to close off my first album.

Heaven is about the distant reaches of space, the very edge of the universe.

It's well worth listening through the whole of this album - I think it works well as a body of work.",https://open.spotify.com/track/6juZS21WFHwCe6q2znscqY?si=6974b6e71f4d4d5d,https://soundcloud.com/gfdmusic/heaven
29,The Last Train,the-last-train,1,"The Last Train is a proper trance banger that gives me that ""end of the night"" vibe. It's about the last tune of the night, and your last train home.

It's a hidden gem in my catalogue, which I released then didn't shout about. It's also wedged between my first and second albums, so may have been overshadowed by those.",https://open.spotify.com/track/1HkDC1sxG5f1jQO6cmvJis?si=7617b6f9d3534fee,https://soundcloud.com/gfdmusic/the-last-train
30,Seventy Five,seventy-five,1,"Track 2 of my EP, The Last Train. Very different to that track: Seventy Five is much more chilled and downbeat.

The title comes from an attempt to write something with a 1970s sound. Not sure I've done that, but that was the original idea.

I think it's a good track, but perhaps better suited to my ""Roads to Atlantis"" videogame music alias.",https://open.spotify.com/track/6uQVu2PiVws0Q12cVloT5s?si=55d8b2a7fb674a20,https://soundcloud.com/gfdmusic/seventy-five
31,Synthrock,synthrock,1,"The opener for my 2nd album. This is a synth-heavy track, on an album entirely made up of tracks with one word titles.

This entire album flew completely under the radar. It is a bit hit and miss, and this probably wasn't the best opener. But there are some good tracks. Stick with it; let's see what we have here.",https://open.spotify.com/track/1BUQPrWyHvldPdDvUHgyfP?si=2a5589b437cd48af,https://soundcloud.com/gfdmusic/synthrock
32,Psionetrics,psionetrics,1,"(pronounced ""Syon-etrics"")

This is a very synthy track, and a pretty cool one at that. The opening theme plays for most of the track, with lots of other sounds and melodies layered on top.

It's a standout track on the album, for sure.",https://open.spotify.com/track/3cliPfeQ5k2tTDoAi8G0og?si=5721353531e3428b,https://soundcloud.com/gfdmusic/psionetrics
33,Echoes,echoes,1,The crunchy drums and synth in this track contrast well with the piano chords and the vibraphone. I love the vibe. It's one of the best tracks on the album.,https://open.spotify.com/track/2FMXSTIKPgtpRvIhqTDPM9?si=72bf6c24fe41442a,https://soundcloud.com/gfdmusic/echoes
34,Moonlight,moonlight,1,"This is a short one. The 15 second intro is skippable; after that it settles into a slightly jaunty piano piece.

It's just a tune I put together very quickly as part of a songwriting challenge. Pleasant enough.",https://open.spotify.com/track/6GKLkVJ600OKeXtjcxBGzf?si=38c901261fc1486d,https://soundcloud.com/gfdmusic/moonlight
35,Darkside,darkside,1,"This is like a part 2 of yesterday's track, ""Moonlight"". It's based around a couple of chords, starting on guitar/vibraphone and synth. Piano comes in later and brings the whole track together.

Despite initial similarities to the piece before, I think that ""Darkside"" is much better. It's an ambient, understated piece, which slowly develops into a bit of a lost gem.",https://open.spotify.com/track/2ZEleLEs74pqbdYFxuWXlu?si=0ac0ec7f18d64500,https://soundcloud.com/gfdmusic/darkside
36,Sapphire,sapphire,1,"Bells and synths, drums and piano, this track goes along at quite a pace. Mostly repeated melodies, it's brighter than the last couple of tracks, so gives a good contrast.",https://open.spotify.com/track/6lORcuBlZTdPCo7GOruyZd?si=386d8a729cc64fb0,https://soundcloud.com/gfdmusic/sapphire
37,Density,density,1,"This is a really old track that I totally reworked for this album. The older version was titled ""Circumference"", and I completed the track in 2008. This version was done in 2022.

It's electric piano plus a growly, buzzy synth. The chords work well. It's a different mood and style to most of the album, and it's also more interesting to listen to.",https://open.spotify.com/track/2eDtTSKtuwdoiMsSi7JRpi?si=f711ebd4a0884354,https://soundcloud.com/gfdmusic/density
38,Anticipation,anticipation,1,"This track lives up to its name. Melodies that are waiting for something to happen. There's a Euro feel with the opening melody, and a piano part that adds to the vibe. The track builds nicely, though never fully resolves.

At under 3 minutes, it's a pretty quick listen, but it captures your attention.",https://open.spotify.com/track/4NbUmfusJT4OXLhvJm2fUY?si=5800cf5aebd84180,https://soundcloud.com/gfdmusic/anticipation
39,Eurodance,eurodance,1,"If you only listen to one track from this album, make it this track.

Eurodance is a catchy, upbeat synth track that was fun to write. It's fun to listen to, too.

Look out for the piano partway through.",https://open.spotify.com/track/51GHw5EeE0HESGVEiIixZS?si=bed7c0e6929748ad,https://soundcloud.com/gfdmusic/eurodance
40,Sentinel,sentinel,1,"This is a synth-heavy dance track. It's a remix of a super old track. That track is called ""Deafening Silence"" and I wrote it way back in 2007.

This version is longer, and develops the idea a bit - although in the end, it really just repeats. Worth a listen though.",https://open.spotify.com/track/5oAeIzsO3ncO9w8YQcHvpL?si=0c8fdbb5a78d433d,https://soundcloud.com/gfdmusic/sentinel
41,Weekend,weekend,1,"This is a disco/dance track. I really like how it came together. 🕺

It's understated at first, then opens up to a memorable Eurodance-esque synth riff. In the middle, it gets ultra catchy, with chords and a piano melody. 🎹

Certainly one of the highlights of the album 😎",https://open.spotify.com/track/5QRKeUDWVxhUDDcWPxcZ1f?si=c6d49b3afb884944,https://soundcloud.com/gfdmusic/weekend
42,Reflections,reflections,1,"For this track, I took a piano riff from an earlier piece (Turn It Up) and developed it into a track of its own.

The synth additions take it in a different direction, before resolving into a variation of the opening.

I made a mistake putting this track so late on the album. It's one of the better tracks for sure.",https://open.spotify.com/track/59C7KeOPqT2tX85f0V4U2p?si=900ce0b4604546b6,https://soundcloud.com/gfdmusic/reflections
43,Clouds,clouds,1,"Back in Feb 2018, I came to realise my marriage was over. This was the first track I wrote after that truly hit me.

The album is an odd one, but Clouds is a standout. It should've been the opening track, but I didn't want a downbeat track first. I regret that choice.

It's a chilled track with a dance beat, and a melancholy vibe. It belongs at the start of the album.",https://open.spotify.com/track/6GeLb7WL5VRvAD8dBE16ak?si=28ff00ce36194314,https://soundcloud.com/gfdmusic/clouds
44,Chronicles,chronicles,1,"Dramatic and powerful, this is the closing track of album 2.

The brass melody, repeated on piano, and then developed throughout the track really holds your attention.

I think the first half is better than the second, but I don't think it's a bad track. A good way to close the album - and also my final track of 2022.",https://open.spotify.com/track/5YjZrOxSgYtnsLAf59PGhZ?si=338097e1d80c4858,https://soundcloud.com/gfdmusic/chronicles
45,Mash,mash,1,"This track is a banger!

It feels like a big jump between the previous album, and this track.

I set out to write something that would stand out. It started as a classic trance track.

But then I added the groovy baseline and the funky melodies, and it turned into a sort of funk/trance hybrid.

I’ve managed to combine my love of dance and funk into something that overlaps both genres.

Even the artwork is a step up compared to previous releases.

2023 was definitely a new start for my music.",https://open.spotify.com/track/1EwWurJBGlVAakDdDyEpOW?si=214f601b085c4936,https://soundcloud.com/gfdmusic/mash
46,Won’t Give Up,wont-give-up,1,"2nd track on the ""Mash"" EP.

A much more chilled track than Mash, at least at the start. The scratchy, grungey guitar adds a different feel alongside the piano. The chords add a lot of depth.

These tracks have so much more personality than my 2nd album. I enjoyed putting this together. It's fun to play it back.",https://open.spotify.com/track/0avvNVfMvTvlOfD93qggoj?si=94de418633324bfd,https://soundcloud.com/gfdmusic/wont-give-up
47,Down With It,down-wiith-it,1,"This is really funky!

The first minute and 40 seconds are all about the funk. A catchy riff plays for much of the first part.

Then at 1:40, it goes in a different direction, with softer drums and smooth chords. A nice contrast.

At 2:46, we're back to the funk of the first part.

It's a memorable track, and one of my funkiest yet. 😎",https://open.spotify.com/track/1Fe8YFjPvdZiD3GHRzeqdJ?si=53503aa45c7145e7,https://soundcloud.com/gfdmusic/down-with-it
48,Last Dance,last-dance,1,"2nd track on the Down With It EP.

This is a vibey electric piano piece: a sort of melancholy disco track. The middle part is from a much older track, which takes the tune in a different direction.

It's a fun listen and I love the chords. However, of the 7 tracks released in the first half of 2023, Last Dance is the only one that didn't make it onto my 3rd album.",https://open.spotify.com/track/7HgPnLerh5VZfjG8MJc7IR?si=cd14b34cf8074a25,https://soundcloud.com/gfdmusic/last-dance
49,Nobody Understands Jeremy,nobody-understands-jeremy,1,"I had a lot of fun with this - not just the silly title. It started as a pretty basic track several years before, called Metro Sound. Not much of that track remains, but it did give me a starting point.

At 1:52 it starts getting interesting, moving to a minor key, and then the classical-style piano melody starts. I love it - it really comes together.",https://open.spotify.com/track/23JsTKfzx4qws78eRfB6Gt?si=59242e1629964e20,https://soundcloud.com/gfdmusic/nobody-understands-jeremy
50,Antarctic Sun,antarctic-sun,1,"I've always been a fan of trance, and I've written a few tracks in the genre. This is an uplifting, dreamy trance instrumental.

It's got some pretty cool artwork too, which fits the title.

This is my 50th track. Thank you if you're listening ❤️",https://open.spotify.com/track/5knqS2oqwagOr8gPsXrso2?si=214966eea50d44b2,https://soundcloud.com/gfdmusic/antarctic-sun
51,Lost Somewhere Underground,lost-somewhere-underground,1,"Another dance track, and the 2nd track from the Antarctic Sun EP.

This is unusual for being a track that other listeners seem to like more than I do 😅 What do I know?!

Ah, it still sounds good, I reckon. Deep and dark, matching its title.",https://open.spotify.com/track/5BnGzVIKhR8OiAMbG8TPzn?si=3df84a82688c4fdc,https://soundcloud.com/gfdmusic/lost-somewhere-underground
52,Making an Entrance,making-an-entrance,1,"Currently my most listened to track, and the opener for my 3rd album.

It's super groovy, with a funky bassline, organ overload, and a slick piano part towards the end.

It's great fun! Have a listen and see what you think 😎🕺",https://open.spotify.com/track/15qmUoXxcrWZlFDEsWgtRY?si=5695f51db277425f,https://soundcloud.com/gfdmusic/making-an-entrance
53,Coral Reef,coral-reef,1,We're getting to some of my best tracks. This is a melodic dance/trance tune that has a dreamlike quality to it. I find it's a perfect night time listen.,https://open.spotify.com/track/5fUYmr61XndsqLv5MZ2kpX?si=8a9d4cc93af14814,https://soundcloud.com/gfdmusic/coral-reef
54,Check It,check-it,1,"This is catchy! Great drumbeat, an upbeat piano melody, and a ""ding"" through most of the track. It all fits together nicely and it's one of my favourite tracks.",https://open.spotify.com/track/38G8BW4KKjMaidOMq2gq8V?si=bee65a1cb9854abe,https://soundcloud.com/gfdmusic/check-it
55,Highway By Night,highway-by-night,1,"This is a driving trance tune. The pace and tone was inspired by being on a highway / freeway / motorway late at night. You're pretty much the only car on the road.

It's a thoughtful, contemplative track. Quite a lot of this album is trance, I hadn't realised how much until I wrote these track descriptions.",https://open.spotify.com/track/2c3K25RXCR2fBxWN42ZoAW?si=0cc5dacb8f4e4ad2,https://soundcloud.com/gfdmusic/highway-by-night
56,Stand Together,stand-together,1,"This one is a semi-chilled, melancholy dance track.

Between the synthy melodies and the piano chords, I think it's a memorable tune.

It's not that long and doesn't deliver any surprises. But what's there is nice. It's also a good penultimate track for my 3rd album.",https://open.spotify.com/track/1oJaVPz0eqeVptcOMoPuOA?si=5d4a5c3306974796,https://soundcloud.com/gfdmusic/stand-together
57,It’s a Lovely Day Outside,its-a-lovely-day-outside,1,"The final track from my 3rd album.

A bit minimalist, but it's happy, upbeat, and a bit funky.

A great way to close the album! The difference between this and my 2nd album is massive.",https://open.spotify.com/track/7081T9IJYs9OPYUn0nt1Aj?si=1ef06ba531fb4ed2,https://soundcloud.com/gfdmusic/its-a-lovely-day-outside
58,Master Plan,master-plan,1,"I released a lot of tracks in 2023. After a bunch of singles and an album, I continued with a few more singles at the end of the year.

This single is smooth and groovy, with upbeat piano and a funky bass line.

I think it's OK, but doesn't really go anywhere. Probably could've done more with it. Maybe a remix?",https://open.spotify.com/track/2w38j2KqtfjvjKl2ZgnktT?si=01593cbdcd5340eb,https://soundcloud.com/gfdmusic/master-plan
59,Epic Journey (2023 remix),epic-journey-2023-remix,1,"To mark 3 years since I released my first track on Spotify, I did this remix.

But! It's a milestone, as it's my first release with vocal samples.

The vocals make a big difference. The remix is tighter, and doesn't hang around on each section for as long as the original.

This remix opened up a lot of new ideas...",https://open.spotify.com/track/3muB1A9fcCeg3Zq8Je3AfL?si=eac043c5869944a6,https://soundcloud.com/gfdmusic/epic-journey-remix
60,Tonic (2023 remix),tonic-2023-remix,1,"When I remixed Epic Journey (see previous post) I also remixed another early track - Tonic.

While not drastically different to the original, it has a new intro, and sounds better overall.

It's a funky track with a new coat of paint.

Incidentally, the name comes from gin and tonic 😄",https://open.spotify.com/track/1JAhNQpldgpy50F8fGfU8H?si=f14748fb308445c0,https://soundcloud.com/gfdmusic/tonic-remix
61,What I Want,what-i-want,1,"This track felt like a new beginning for GFD.

While I did include vocals in the Epic Journey remix, the vocals take centre stage here.

The arpeggios and chords are a similar style to some earlier tracks, but the vocals take the music in a new direction.

It's one of my very best, and in my top 5 tracks on Soundcloud.",https://open.spotify.com/track/0LVdcHuXSBu8SAIdHVD1BY?si=03111678bcd84e6e,https://soundcloud.com/gfdmusic/what-i-want
62,Just One Thing,just-one-thing,1,"Another vocal track, this is pretty nice to listen to. A couple of vocal samples and some catchy melodies, along with some dirty synths in the middle.

It's something of a genre mashup, with a semi chilled/laid back vibe in places, trance chords, singalong vocals, and some heavier parts too.",https://open.spotify.com/track/3yd65kO8cNoeFGkWFtfoTQ?si=8c5aba1f75204907,https://soundcloud.com/gfdmusic/just-one-thing
63,Watch Me Walk Away,watch-me-walk-away,1,"I'm really proud of this one. Trance with dreamlike vocals. I think it's the track that's had some of the most positive feedback. ❤️

It's not particularly hard trance, but it fits the mould of the many trance songs I've listened to over the years. Think Anjunabeats/Oceanlab if you're familiar.",https://open.spotify.com/track/5v1Tv2g84enOwA0YgRigVm?si=a089f2b7dac24922,https://soundcloud.com/gfdmusic/watch-me-walk-away
64,The Premiere,the-premiere,1,"This is the 1st track on my 4th album. It's my first album with vocals, and this one kicks things off, big time.

I've had lots of good feedback on the track. I'm glad people enjoy it ☺️ I love how it turned out.",https://open.spotify.com/track/0Rc2m8Eu68zTKUWAyH32Yg?si=17d5bf1049a64a24,https://soundcloud.com/gfdmusic/the-premiere
65,Aurora Borealis,aurora-borealis,1,"I found some weird but cool vocals without actual words, added a beat, and added melodies and chords.

That doesn't do this track justice. It's a firm favourite: a chilled track with some really nice sounds and chords.",https://open.spotify.com/track/2OaO4DUZPpZNt1o8ukJw1L?si=8eb241dcbc7b4fb5,https://soundcloud.com/gfdmusic/aurora-borealis
66,Just Like You,just-like-you,1,"This is a synth heavy track with some nice vocals, though I feel I could have varied it a bit more. Might be one to do a remix of.",https://open.spotify.com/track/5sMhOfw2ygsHJ1muRs59aQ?si=9e2e668326ec4e84,https://soundcloud.com/gfdmusic/just-like-you
67,Fusion,fusion,1,,https://open.spotify.com/track/72bbIF1ztR4iwzPseKllCG?si=7101bc84124a4fd9,https://soundcloud.com/gfdmusic/fusion
68,Mind the Gap,mind-the-gap,1,,https://open.spotify.com/track/7AZ5uOhvRCn7Dc04jU79lF?si=8275a60251f84141,https://soundcloud.com/gfdmusic/mind-the-gap
69,Beyond the Sky,beyond-the-sky,1,,https://open.spotify.com/track/4GdZ6UB9hh9fA54ypuAEys?si=b38bed810b954559,https://soundcloud.com/gfdmusic/beyond-the-sky
70,Don’t Wanna Be Lonely,dont-wanna-be-lonely,1,,https://open.spotify.com/track/3Nx61NESoPi9RvlU7NvvOa?si=dc6b3cff3cdd4ac8,https://soundcloud.com/gfdmusic/dont-wanna-be-lonely
71,Besidewalk Plight,besidewalk-plight,1,,https://open.spotify.com/track/5LU6fLlm2NFiw2FWq0kyu4?si=bd2323b20b0c4de6,https://soundcloud.com/gfdmusic/besidewalk-plight
72,End of Days,end-of-days,1,,https://open.spotify.com/track/3HvAK6KicTRnmM4etBrLHQ?si=316e0ce2b0a54ce7,https://soundcloud.com/gfdmusic/end-of-days
73,I Just Wanna Be With You,i-just-wanna-be-with-you,1,,https://open.spotify.com/track/6I7e8ODbBWLkMJJ4rj6iE5?si=5237b74a8d724b85,https://soundcloud.com/gfdmusic/i-just-wanna-be-with-you
74,Take it Slow,take-it-slow,1,,https://open.spotify.com/track/4MJkyz1EJHhbKhqiUrEz4x?si=de1193b6c2204509,https://soundcloud.com/gfdmusic/take-it-slow
75,Alive,alive,1,,https://open.spotify.com/track/4i1x2ohy9kpYioVPPicddg?si=2ff1808e31df4906,https://soundcloud.com/gfdmusic/alive
76,Like That,like-that,1,,https://open.spotify.com/track/4cp7x2qUmTF8h6azd9JdRW?si=e1dcac56e6d746f2,https://soundcloud.com/gfdmusic/like-that
77,Orchestral Night,orchestral-night,2,,,
78,75,75,2,,,
79,Backstreet Breakfast Bar,backstreet-breakfast-bar,2,,,
80,Pillars of Ice,pillars-of-ice,2,,,
81,Journeys,journeys,2,,,
82,Apocrypha,apocrypha,2,,,
83,Haunted Forest,haunted-forest,2,,,
84,Take My Hand,take-my-hand,2,,,
85,Disappearing Horizon,disappearing-horizon,2,,,